totalReports,numDistinctUsers,lastReportedAt,isWhitelisted,isTor,abuseConfidenceScore,abuseConfidenceClass,countryCode,usageType,domain,isp
870,15,1735879605.0,True,True,21.0,1.0,39.0,1.0,186.0,183.0
1304,509,1741890376.0,True,False,4.0,1.0,39.0,1.0,186.0,183.0
1140,670,1737976913.0,True,True,24.0,1.0,39.0,1.0,186.0,183.0
1105,726,1737724101.0,True,True,24.0,1.0,39.0,1.0,186.0,183.0
1734,127,1737542227.0,False,True,58.0,1.0,39.0,1.0,186.0,183.0
1054,494,1736840328.0,True,True,23.0,1.0,39.0,1.0,186.0,183.0
1648,610,1741847768.0,False,False,51.0,1.0,39.0,1.0,186.0,183.0
131,675,1736529591.0,True,True,22.0,1.0,39.0,1.0,186.0,183.0
476,960,1741346366.0,False,False,38.0,1.0,39.0,1.0,186.0,183.0
1248,688,1741882971.0,False,False,45.0,1.0,39.0,1.0,186.0,183.0
340,477,1743153944.0,True,False,2.0,1.0,39.0,1.0,186.0,183.0
1492,170,1740244666.0,False,False,34.0,1.0,39.0,1.0,186.0,183.0
97,279,1736399095.0,False,False,10.0,1.0,39.0,1.0,186.0,183.0
1406,65,1740623210.0,True,False,3.0,1.0,39.0,1.0,186.0,183.0
1133,237,1739209136.0,False,True,49.0,1.0,39.0,1.0,186.0,183.0
881,858,1735936412.0,True,False,4.0,1.0,39.0,1.0,64.0,47.0
1697,158,1735919757.0,False,True,58.0,1.0,39.0,1.0,186.0,183.0
140,55,1736455772.0,False,False,4.0,1.0,39.0,1.0,64.0,47.0
1695,153,1737503868.0,False,True,58.0,1.0,39.0,1.0,186.0,183.0
1342,759,1737621501.0,False,False,49.0,1.0,39.0,1.0,64.0,47.0
779,793,1739909027.0,True,True,23.0,1.0,39.0,1.0,186.0,183.0
353,641,1740719899.0,True,True,22.0,1.0,39.0,1.0,64.0,47.0
1525,349,1735892399.0,True,False,4.0,1.0,39.0,1.0,186.0,183.0
1447,422,1740377864.0,True,False,4.0,1.0,39.0,1.0,64.0,47.0
815,741,1737337771.0,True,False,3.0,1.0,39.0,1.0,186.0,183.0
395,529,1741676207.0,False,False,23.0,1.0,39.0,1.0,64.0,47.0
1225,353,1741121425.0,True,True,23.0,1.0,39.0,1.0,186.0,183.0
965,396,1741552940.0,False,True,51.0,1.0,39.0,1.0,64.0,47.0
286,482,1740241100.0,True,False,2.0,1.0,39.0,1.0,186.0,183.0
1194,284,1739188987.0,True,False,3.0,1.0,39.0,1.0,64.0,47.0
469,362,1737518989.0,True,True,22.0,1.0,39.0,1.0,186.0,183.0
1347,75,1739438038.0,True,False,2.0,1.0,39.0,1.0,64.0,47.0
31,88,1740612918.0,False,True,23.0,1.0,39.0,1.0,186.0,183.0
262,607,1738003432.0,True,False,2.0,1.0,39.0,1.0,64.0,47.0
757,645,1742459794.0,False,False,34.0,1.0,39.0,1.0,186.0,183.0
866,211,1742962019.0,False,True,43.0,1.0,39.0,1.0,64.0,47.0
1594,987,1735724315.0,True,True,26.0,1.0,39.0,1.0,186.0,183.0
484,671,1742035137.0,False,False,29.0,1.0,39.0,1.0,64.0,47.0
